word,count
o,104.0
thou,103.0
they,102.0
hamlet,102.0
more,101.0
come,99.0
good,99.0
now,98.0
at,97.0
let,92.0
her,91.0
how,89.0
thy,86.0
pol,86.0
may,85.0
most,85.0
was,83.0
like,80.0
would,78.0
know,75.0
us,73.0
them,72.0
old,20.0
