word,count
desperate,6
kill'd,6
home,6
pardon,6
new,6
poison,6
bad,6
prince,6
ii,6
yours,6
lies,6
round,6
visit,6
maid,6
pyrrhus,6
cock,6
audience,6
vile,6
circumstance,6
common,6
discourse,6
shape,6
bid,6
others,6
reynaldo,6
sorrow,6
laugh,6
ill,6
foils,6
over,6
laid,6
stood,6
fault,6
mother's,6
medium,6
water,6
guilty,6
information,6
cornelius,6
cast,6
lack,6
fat,6
court,6
rather,6
wager,6
health,6
feed,6
double,6
dane,6
hit,6
dumb,6
whom,6
files,6
proof,6
whilst,6
choose,6
re-enter,6
ambition,6
speaks,6
brain,6
beast,6
below,6
nunnery,5
&c,5
keeps,5
fie,5
burial,5
shalt,5
player,5
in's,5
distribute,5
prison,5
prologue,5
perchance,5
natural,5
course,5
million,5
fortune's,5
image,5
mass,5
carriages,5
door,5
found,5
marriage,5
cry,5
spirits,5
land,5
trumpet,5
writ,5
beneath,5
books,5
gentle,5
colour,5
flesh,5
above,5
told,5
damages,5
mercy,5
terms,5
received,5
gracious,5
th',5
humbly,5
bound,5
flourish,5
half,5
servant,5
brains,5
begin,5
cannon,5
drown'd,5
twelve,5
throw,5
safety,5
'twas,5
visage,5
dread,5
dream,5
base,5
silence,5
warlike,5
wit,5
including,5
alexander,5
university,5
beard,5
adieu,5
soldiers,5
woul't,5
motive,5
eat,5
star,5
went,5
vows,5
commission,5
yes,5
save,5
shakespeare,5
knew,5
souls,5
french,5
withal,5
france,5
fly,5
morning,5
honesty,5
countenance,5
among,5
slain,5
sudden,5
pay,5
knave,5
stir,5
house,5
hard,5
disposition,5
statement,5
danger,5
sing,5
conceit,5
themselves,5
holds,5
thyself,5
whereon,5
mortal,5
unless,5
ah,5
plain,5
works,5
dangerous,5
ambassadors,5
hide,5
liberty,5
property,5
patience,5
hearing,5
report,5
gutenberg-tm,5
longer,5
drown,5
arras,5
quiet,5
blessing,5
author,5
bodies,5
kingdom,5
table,5
moon,5
treason,5
'gainst,5
ten,5
christian,5
short,5
teach,5
arm,5
man's,5
fee,5
figure,5
present,5
perhaps,5
slave,5
damn'd,5
four,4
fingers,4
want,4
release,4
fain,4
pity,4
country,4
to-morrow,4
ease,4
possible,4
so',4
sigh,4
anything,4
following,4
date,4
argument,4
priest,4
brow,4
wits,4
certain,4
forgot,4
past,4
cunning,4
states,4
weeds,4
ftp,4
defect,4
also,4
kill,4
straight,4
b',4
honour'd,4
stronger,4
return'd,4
pause,4
meant,4
frame,4
sits,4
infinite,4
lest,4
didst,4
length,4
modesty,4
consent,4
brief,4
leisure,4
draws,4
thrice,4
hang,4
kept,4
bore,4
months,4
editions,4
priam,4
liability,4
cost,4
change,4
sending,4
trumpets,4
hall,4
directly,4
flowers,4
angel,4
good-night,4
thinking,4
prepare,4
start,4
stars,4
drift,4
strong,4
ye,4
unnatural,4
ass,4
lights,4
hundred,4
danes,4
herein,4
ready,4
censure,4
seeing,4
lords,4
william,4
wi',4
thence,4
special,4
quality,4
years,4
addition,4
warrant,4
warranties,4
methinks,4
lives,4
sorry,4
reads,4
bestow,4
cousin,4
puts,4
iv,4
grown,4
grows,4
yea,4
sailors,4
fort,4
assume,4
die,4
favour,4
poison'd,4
tale,4
main,4
paid,4
treasure,4
chamber,4
violence,4
lands,4
affection,4
imagination,4
forget,4
armed,4
pleasure,4
bosom,4
express,4
remove,4
tender,4
secret,4
cup,4
follows,4
often,4
remembrance,4
whereto,4
lend,4
prepared,4
presently,4
methought,4
iii,4
bones,4
native,4
throat,4
complete,4
request,4
instant,4
freely,4
otherwise,4
commend,4
deep,4
file,4
expense,4
discretion,4
entertainment,4
direct,4
pate,4
breathe,4
got,4
took,4
spade,4
snow,4
commandment,4
twice,4
habit,4
wear,4
shortly,4
wittenberg,4
incestuous,4
affair,4
clouds,4
stands,4
refund,4
platform,4
begun,4
motion,4
white,4
wide,4
quantity,4
tend,4
horrible,4
weep,4
violent,4
rose,4
legal,4
polack,4
ladies,4
cursed,4
calls,4
lov'd,4
thrift,4
glad,4
imports,4
reach,4
ecstasy,4
hecuba,4
turn'd,4
fast,4
mock,4
desires,4
few,4
sort,4
six,4
practice,4
impart,4
hence,4
wild,4
cries,4
lead,4
sick,4
golden,3
gaming,3
borne,3
if't,3
bitter,3
idle,3
feeling,3
dozen,3
